Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Incorporates),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Supercedes),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (CXF Fields),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Content negotiation & ResponseBuilder without entity - wrong Content-Type,CXF-3667,12514511,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,sergey_beryozkin,lstrzelecki,lstrzelecki,18/Jul/11 21:35,19/Aug/11 03:30,14/Mar/19 02:29,26/Jul/11 20:40,2.4.1,,,,,,,,,,,,,,,,,2.4.2,2.5,,,JAX-RS,,,,0,,,,,,"With creation of response without content, based on javax.ws.rs.core.Response.ResponseBuilder. I get wrong Content-Type. 

Sample of REST resource (This is not valid rest service, but I want only show strange behaviour)
{code}
package com.sozix.rest.service;

import javax.ws.rs.GET;
import javax.ws.rs.Path;
import javax.ws.rs.Produces;
import javax.ws.rs.core.MediaType;
import javax.ws.rs.core.Response;

@Path(""/hello"")
public class HelloResource {
	// 1
	@GET
	// 2
	@Produces(MediaType.APPLICATION_JSON)
	public Response greeting() {
		// 3
		return Response.noContent().build();
	}
}
{code}

At 1) No matter which kind of request (GET, POST, PUT, DELETE) i will invoke. Issiue is the same.
At 2) I set that method produces ONLY Content-type: application/json
At 3) Constructing response without content, using javax.ws.rs.core.Response.ResponseBuilder

Invoking servcie

$ curl *--header ""Accept: application/json""* http://localhost:8080/hello -v
I'm setting header that as client accept only JSON content type.

{code}
$ curl --header ""Accept: application/json"" http://localhost:8080/hello -v
* About to connect() to localhost port 8080 (#0)
*   Trying 127.0.0.1... connected
* Connected to localhost (127.0.0.1) port 8080 (#0)
> GET /hello HTTP/1.1
> User-Agent: curl/7.20.1 (i686-pc-cygwin) libcurl/7.20.1 OpenSSL/0.9.8q zlib/1.
2.5 libidn/1.18 libssh2/1.2.5
> Host: localhost:8080
> Accept: application/json
>
< HTTP/1.1 204 No Content
< Content-Type: text/xml
< Date: Mon, 18 Jul 2011 21:19:19 GMT
< Server: Jetty(7.4.2.v20110526)
<
* Connection #0 to host localhost left intact
* Closing connection #0
{code}

But as you can see at response i'm getting Content-Type: *text/xml*. Which is not i'm expecting.
",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5756,,,2011-07-18 21:35:01.0,,,,,,0|i0b7b3:,63296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong code in MessageBodyWriter example,CXF-3666,12514463,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Trivial,Fixed,sergey_beryozkin,mrpi,mrpi,18/Jul/11 16:13,19/Dec/11 16:15,14/Mar/19 02:29,18/Jul/11 22:35,,,,,,,,,,,,,,,,,,2.5.1,,,,Documentation,,,,0,,,,,,"The example for MessageBodyWriter on http://cxf.apache.org/docs/jax-rs-basics.html#JAX-RSBasics-CustomMessageBodyProviders contains:

@ProduceMime(""text/plain"")

Which I believe should be:

@Produces(""text/plain"")",,600,600,,0%,600,600,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,Novice,,,,,,,,,,,46741,,,2011-07-18 16:13:26.0,,,,,,0|i1afxb:,269046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
server-sid​e endpoint cleanup problem in spring based CXF scenarios in OSGi,CXF-3665,12514457,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,ay,ay,ay,18/Jul/11 15:07,19/Aug/11 03:30,14/Mar/19 02:29,20/Jul/11 14:40,2.4.1,,,,,,,,,,,,,,,,,2.4.2,2.5,,,Transports,,,,0,,,,,,"Server-side endpoints configured using spring may not be cleaned up in OSGi under certain situation. This issue can lead to memory leak and an inconsistent system state that requires the restart of the whole container. The detail about this problem and its proposed solution were discussed in cxf@dev mailing thread:

http://cxf.547215.n5.nabble.com/server-side-endpoint-cleanup-problem-in-spring-based-CXF-scenarios-in-OSGi-td4556654.html
",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5819,,,2011-07-18 15:07:36.0,,,,,,0|i0b7hj:,63325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wadl2java : xsd data types aren't mapped to java data types properly if they use mixed case.,CXF-3664,12514448,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,sergey_beryozkin,cerihughes,cerihughes,18/Jul/11 14:27,19/Aug/11 03:30,14/Mar/19 02:29,20/Jul/11 22:28,2.4.1,,,,,,,,,,,,,,,,,2.4.2,2.5,,,Tooling,,,,0,,,,,,"The data types in my xsd use mixed case names - e.g. ""userDefaults""

When I reference these in my reponse's representation elements, the wadl2java tool is unable to match them to the types processed by the xsd parser.

E.g.

<response status=""200"">
    <representation mediaType=""application/xml"" element=""fmc:userDefaults"" />
</response>

There is a line of code in the org.apache.cxf.jaxrs.ext.codegen.SourceGenerator.matchClassName method that checks the lower-cased version of the generated class name matches the local name of the type from the xsd. This will only ever work ig the local name is completely lowercased OR the method changes to match the 2 strings lower cased.","Windows 7 32 bit
java version ""1.6.0_26""
Java(TM) SE Runtime Environment (build 1.6.0_26-b03)
Java HotSpot(TM) Client VM (build 20.1-b02, mixed mode, sharing)",,,,,,,,,,,,,,,,20/Jul/11 15:07;cerihughes;example.zip;https://issues.apache.org/jira/secure/attachment/12487168/example.zip,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2011-07-19 22:29:09.827,,,no_permission,,,,,,,,,,,,,5791,,,Wed Jul 20 22:28:31 UTC 2011,,,,,,0|i0b7kv:,63340,,,,,,,,"19/Jul/11 22:29;sergey_beryozkin;Hi, can you provide more info please ? 
I updated the schema in this file:
http://svn.apache.org/repos/asf/cxf/trunk/tools/wadlto/jaxrs/src/test/resources/wadl/bookstore.xml

by changing ""<xs:element name=""thebook2"" type=""tns:book2""/>""
to
<xs:element name=""theBook2"" type=""tns:book2""/>

and then updated element=""prefix:thebook2"" to ""prefix:theBook2""

and it worked OK.

Can you post a sample schema fragment and provide more details please ?
","20/Jul/11 15:07;cerihughes;Run wadl2java on the attached application.wadl (which references model.xsd).

The data type is called myData at the moment, and this generates 3 methods with the following signatures:

{code}
    Response exportData();
    void createData();
    void deleteAll();
{code}

If I rename the data type to be mydata (all 3 cases in the model xsd and 2 cases in wadl), I correctly get the following signatures:

{code}
    Mydata exportData();
    void createData(Mydata mydata);
    void deleteAll();
{code}
","20/Jul/11 22:28;sergey_beryozkin;thanks for this example - I missed yesterday that it were the type names which were used with non-anonymous complex types.

Thus JAXBElementProvider with marshalAsJAxbElement property needs to be configured in such cases - however I think we may just need to add an option like -config (where Spring/etc config would be generated with providers added) or update the main code - to be generated as well ",,,,,,,,,,,,,,,,,,,,,,,,
wadl2java : Return types aren't generated properly on server interfaces for methods with more than 1 response element.,CXF-3662,12514442,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,sergey_beryozkin,cerihughes,cerihughes,18/Jul/11 14:01,22/Apr/14 14:54,14/Mar/19 02:29,18/Jul/11 22:33,2.4.1,,,,,,,,,,,,,,,,,2.4.2,2.5,,,Tooling,,,,0,,,,,,"My wadl file frequently has more than 1 response element in the method elements, i.e.:
{code}
<method name=""GET"" id=""getUserDefaults"">
	<doc>Gets default user configuration values.</doc>
	<response status=""200"">
		<representation mediaType=""application/xml"" element=""fmc:userDefaults"" />
	</response>
	<response status=""400"">
		<representation mediaType=""application/xml"" element=""fmc:errorList"" />
	</response>
</method>
{code}

If there is more than 1 response element, the wadl2java tool assumes that the return type from generated methods is always void. There is a line of code that checks for exactly 1 response element - if there isn't 1 (i.e. 0 or more than 1), then void is assumed. Can it not take the representation of the 1st response in a case when there is more than 1 (or better, the representation from the response with a success status)?

See the first line of org.apache.cxf.jaxrs.ext.codegen.SourceGenerator.writeResponseType","Windows 7 32 bit
java version ""1.6.0_26""
Java(TM) SE Runtime Environment (build 1.6.0_26-b03)
Java HotSpot(TM) Client VM (build 20.1-b02, mixed mode, sharing)",,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2011-07-19 11:22:03.386,,,no_permission,,,,,,,,,,,,,5795,,,Tue Apr 22 14:54:59 UTC 2014,,,,,,0|i0b6mn:,63186,,,,,,,,"19/Jul/11 11:22;sergey_beryozkin;The following fix from Aki also applies to this JIRA:

http://svn.apache.org/viewvc?rev=1148257&view=rev","22/Apr/14 14:54;claudal75;In this example, there is a normal response and an error. In that case, the error can be treated with an exception mapper. In case there a additional response (for example with status code = 204), I think it would be more logical to have a return type ""javax.ws.rs.core.Response"" instead of taking the first one.",,,,,,,,,,,,,,,,,,,,,,,,,
JAXRS proxies should not append single slash path values ,CXF-3660,12514342,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Minor,Fixed,sergey_beryozkin,sergey_beryozkin,sergey_beryozkin,16/Jul/11 23:20,19/Aug/11 03:30,14/Mar/19 02:29,16/Jul/11 23:34,2.3.5,2.4.1,,,,,,,,,,,,,,,,2.3.6,2.4.2,2.5,,JAX-RS,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5790,,,2011-07-16 23:20:21.0,,,,,,0|i0b7pj:,63361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wadl generation problem with @FormParam cause IllegalStateException,CXF-3656,12514106,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Minor,Fixed,sergey_beryozkin,bgennadiy,bgennadiy,14/Jul/11 18:42,19/Aug/11 03:30,14/Mar/19 02:29,18/Jul/11 21:58,2.4.1,,,,,,,,,,,,,,,,,2.4.2,2.5,,,JAX-RS,,,,0,,,,,,"When we are migrate to 2.4.1 from 2.3.1 we have an exception with wadl generation
java.lang.IllegalStateException
	at org.apache.cxf.jaxrs.model.wadl.WadlGenerator.getRequestBodyParam(WadlGenerator.java:606)
	at org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleRepresentation(WadlGenerator.java:574)
	at org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleFormRepresentation(WadlGenerator.java:618)
	at org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleOperation(WadlGenerator.java:359)
	at org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleResource(WadlGenerator.java:285)
	at org.apache.cxf.jaxrs.model.wadl.WadlGenerator.handleRequest(WadlGenerator.java:216)
	at org.apache.cxf.jaxrs.impl.RequestPreprocessor.handleMetadataRequest(RequestPreprocessor.java:201)
	at org.apache.cxf.jaxrs.impl.RequestPreprocessor.checkMetadataRequest(RequestPreprocessor.java:186)
	at org.apache.cxf.jaxrs.impl.RequestPreprocessor.preprocess(RequestPreprocessor.java:82)
	at org.apache.cxf.jaxrs.interceptor.JAXRSInInterceptor.processRequest(JAXRSInInterceptor.java:112)
	at org.apache.cxf.jaxrs.interceptor.JAXRSInInterceptor.handleMessage(JAXRSInInterceptor.java:88)
	at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:263)
	at org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:118)
	at org.apache.cxf.transport.http.AbstractHTTPDestination.invoke(AbstractHTTPDestination.java:208)
	at org.apache.cxf.transport.servlet.ServletController.invokeDestination(ServletController.java:223)
	at org.apache.cxf.transport.servlet.ServletController.invoke(ServletController.java:205)
	at org.apache.cxf.transport.servlet.CXFNonSpringServlet.invoke(CXFNonSpringServlet.java:113)
	at org.apache.cxf.transport.servlet.AbstractHTTPServlet.handleRequest(AbstractHTTPServlet.java:184)
	at org.apache.cxf.transport.servlet.AbstractHTTPServlet.doGet(AbstractHTTPServlet.java:112)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:617)
	at org.apache.cxf.transport.servlet.AbstractHTTPServlet.service(AbstractHTTPServlet.java:163)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:343)
	at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:78)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:355)
	at com.utest.service.security.FlexSecurityContextPersistenceFilter.doFilter(FlexSecurityContextPersistenceFilter.java:85)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:355)
	at org.springframework.security.web.session.ConcurrentSessionFilter.doFilter(ConcurrentSessionFilter.java:109)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:355)
	at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:149)
	at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:237)
	at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:167)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)
	at org.tuckey.web.filters.urlrewrite.RuleChain.handleRewrite(RuleChain.java:176)
	at org.tuckey.web.filters.urlrewrite.RuleChain.doRules(RuleChain.java:145)
	at org.tuckey.web.filters.urlrewrite.UrlRewriter.processRequest(UrlRewriter.java:92)
	at org.tuckey.web.filters.urlrewrite.UrlRewriteFilter.doFilter(UrlRewriteFilter.java:381)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)
	at org.jboss.web.tomcat.filters.ReplyHeaderFilter.doFilter(ReplyHeaderFilter.java:96)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:235)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191)
	at org.jboss.web.tomcat.security.SecurityAssociationValve.invoke(SecurityAssociationValve.java:190)
	at org.jboss.web.tomcat.security.JaccContextValve.invoke(JaccContextValve.java:92)
	at org.jboss.web.tomcat.security.SecurityContextEstablishmentValve.process(SecurityContextEstablishmentValve.java:126)
	at org.jboss.web.tomcat.security.SecurityContextEstablishmentValve.invoke(SecurityContextEstablishmentValve.java:70)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:127)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102)
	at org.jboss.web.tomcat.service.jca.CachedConnectionValve.invoke(CachedConnectionValve.java:158)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:330)
	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:436)
	at org.apache.coyote.ajp.AjpProtocol$AjpConnectionHandler.process(AjpProtocol.java:384)
	at org.apache.tomcat.util.net.JIoEndpoint$Worker.run(JIoEndpoint.java:447)
	at java.lang.Thread.run(Thread.java:619)



Investigation shown that exception cause for next method:
@POST
@Path(""/{id}/replyInfo"")
@Consumes( { MediaType.APPLICATION_FORM_URLENCODED })
public ResourceIdentity processReplyRequestedInfo( @PathParam(""id"") final Integer id,  @FormParam(""comments"") final String comments) 

when change method signature to:
public ResourceIdentity processReplyRequestedInfo( @FormParam(""comments"") final String comments, @PathParam(""id"") final Integer id )
resolves issue.

Analysis of source code for class org.apache.cxf.jaxrs.model.wadl.WadlGenerator.java provide conclusion why it happen.

Chain of calls:
private boolean handleOperation(StringBuilder sb, Set<Class<?>> jaxbTypes,
                                 ElementQNameResolver qnameResolver,
                                 Map<Class<?>, QName> clsMap,
                                 OperationResourceInfo ori,
                                 OperationResourceInfo nextOp,
                                 boolean resourceTagOpened,
                                 int index) {
....
            if (isFormRequest(ori)) {
358:                handleFormRepresentation(sb, jaxbTypes, qnameResolver, clsMap, ori, getFormClass(ori));

859: private Class<?> getFormClass(OperationResourceInfo ori) {
        if (ori.getParameters().get(0).getType() == ParameterType.FORM) { <-- here it could be a problem. Code checks only first parameter. 
            return null;
        } else {
            return MultivaluedMap.class;
        }
    }

in case of first parameter is @PathParam the formClass returned value MultivaluedMap.class and exception thrown.
in 

private void handleFormRepresentation(StringBuilder sb, Set<Class<?>> jaxbTypes,
                                      ElementQNameResolver qnameResolver,
                                      Map<Class<?>, QName> clsMap, OperationResourceInfo ori,
                                      Class<?> type) {
617:    if (type != null) {
            handleRepresentation(sb, jaxbTypes, qnameResolver, clsMap, ori, type, true);

.....
            if (inbound) {
573:                int index = getRequestBodyParam(ori).getIndex();

599:private Parameter getRequestBodyParam(OperationResourceInfo ori) {
        for (Parameter p : ori.getParameters()) {
            if (p.getType() == ParameterType.REQUEST_BODY) { <-- there is no body type request 
                return p;
            }
        }
        throw new IllegalStateException();
    }




",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2011-07-18 21:58:32.798,,,no_permission,,,,,,,,,,,,,5815,,,Mon Jul 18 21:58:32 UTC 2011,,,,,,0|i0b7n3:,63350,,,,,,,,18/Jul/11 21:58;sergey_beryozkin;thanks for the analysis of the problem,,,,,,,,,,,,,,,,,,,,,,,,,,
"Role based authorization not working with DefaultSecurityContext (i.e., when using JAASLoginInterceptor with non-prefixed role names)",CXF-3655,12514083,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Minor,Fixed,ay,ay,ay,14/Jul/11 16:05,19/Aug/11 03:30,14/Mar/19 02:29,15/Jul/11 13:30,2.4.1,,,,,,,,,,,,,,,,,2.4.2,2.5,,,Core,,,,0,,,,,,"org.apache.cxf.interceptor.security.DefaultSecurityContext's isUserInRole(String) is not working with jetty's nor virgo's role configuration. This method assumes a role principal to have interface java.security.acl.Group. 

However, both jetty and virgo represent role principals using their own principal classes
org.eclipse.jetty.plus.jaas.JAASRole or org.eclipse.virgo.kernel.authentication.Role, respectively.

And these role classes do not implement java.security.acl.Group.

So, in order to check if the specified role matches the role-principals assigned to the current context, the specified role must be compared against those principals set in the subject that are not equal to the user principal.
",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5800,,,2011-07-14 16:05:42.0,,,,,,0|i0b7rz:,63372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type in Documentation: usePlatformMbeanServer must be usePlatformMBeanServer,CXF-3651,12513772,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Trivial,Fixed,ffang,ojelinski,ojelinski,12/Jul/11 09:54,12/Jul/11 13:41,14/Mar/19 02:29,12/Jul/11 10:03,,,,,,,,,,,,,,,,,,,,,,Documentation,,,,0,,,,,,"On the webpage ""Configuring JMX Integration"" (http://cxf.apache.org/docs/jmx-management.html) there is the typo in the table that contains the configuration options. The option ""usePlatformMbeanServer"" must be ""usePlatformMBeanServer"" (uppercase ""B"").

This isn't a big issue but leads to failing spring initialization:

SCHWERWIEGEND: Exception sending context initialized event to listener instance of class org.springframework.web.context.ContextLoaderListener
org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'XXX': Invocation of init method failed; nested exception is javax.xml.ws.WebServiceException: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'org.apache.cxf.management.InstrumentationManager' defined in ServletContext resource [/WEB-INF/beans.xml]: Error setting property values; nested exception is org.springframework.beans.NotWritablePropertyException: Invalid property 'usePlatformMbeanServer' of bean class [org.apache.cxf.management.jmx.InstrumentationManagerImpl]: Bean property 'usePlatformMbeanServer' is not writable or has an invalid setter method. Did you mean 'usePlatformMBeanServer'?
",http://cxf.apache.org/docs/jmx-management.html,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2011-07-12 10:03:50.896,,,no_permission,,,,,,,,,,,,,46746,,,Tue Jul 12 13:41:24 UTC 2011,,,,,,0|i1afyf:,269051,,,,,,,,"12/Jul/11 10:03;ffang;Thanks for letting us know this issue.
Doc get fixed and will be sync up in next few hours",12/Jul/11 13:41;ojelinski;Thanks for fixing this.,,,,,,,,,,,,,,,,,,,,,,,,,
jax-rs basic example doesn't work when there's a space in file path url,CXF-3650,12513485,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,ffang,ffang,ffang,11/Jul/11 07:28,19/Aug/11 03:30,14/Mar/19 02:29,11/Jul/11 08:07,,,,,,,,,,,,,,,,,,2.3.6,2.4.2,2.5,,,,,,0,,,,,,"If the path url has space like
/Users/ffang/apache-cxf-2.4.1/samples/jax_rs/my basic/
then the resolved file url is 
/Users/ffang/apache-cxf-2.4.1/samples/jax_rs/my%20basic/target/classes/demo/jaxrs/client/update_customer.xml
here %20 represent space, it's ok on windows platform but not ok on mac, on mac we need replaceAll(""%20"", "" "");
we should use org.apache.cxf.resource.URIResolver to resolve the file url here which both works on windows and *nix.
",Mac,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5783,,,Mon Jul 11 08:07:40 UTC 2011,,,,,,0|i0b7rj:,63370,,,,,,,,"11/Jul/11 08:07;ffang;commit fix
http://svn.apache.org/viewvc?rev=1145049&view=rev for trunk
http://svn.apache.org/viewvc?rev=1145052&view=rev for 2.4.x branch
http://svn.apache.org/viewvc?rev=1145055&view=rev for 2.3.x branch",,,,,,,,,,,,,,,,,,,,,,,,,,
Out policies are not being applied for an unchecked fault,CXF-3649,12513297,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,dkulp,dkulp,dkulp,08/Jul/11 18:50,19/Aug/11 03:30,14/Mar/19 02:29,08/Jul/11 21:13,2.4.1,,,,,,,,,,,,,,,,,2.4.2,,,,WS-* Components,,,,0,,,,,,"
If an application throws an unchecked exception or other exception that cannot be mapped into a FaultInfo in the WSDL, none of the policies are being applied.   It should at least grab the policies for the operation/binding/service/port and apply those to make sure the addressing and basic security requirements are met.",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5822,,,2011-07-08 18:50:17.0,,,,,,0|i0b7mn:,63348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong scope for commons-pool,CXF-3648,12513266,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,dkulp,dkulp,dkulp,08/Jul/11 13:52,19/Aug/11 03:30,14/Mar/19 02:29,08/Jul/11 14:16,,,,,,,,,,,,,,,,,,2.3.6,2.4.2,,,,,,,0,,,,,," 
The jms transport has commons-pool as a runtime scope.  However, it's not needed for compile and it's only needed at runtime if using ActiveMQ.   The ActiveMQ poms would pull that in anyway.   Thus, it should be either removed or moved to test scope.",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,,5820,,,2011-07-08 13:52:33.0,,,,,,0|i0b7mv:,63349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
